district,neighborhood,day_pop,night_pop,night_ratio,other,restaurant,cafe,bar,total_business,cafe_norm,bar_norm,night_norm,vibe_score
11110,11110515,276.6411340206186,232.40341726618706,0.8400898806641878,,0.0,0.0,0.0,,,,0.43472986580202927,
11110,11110530,452.11577464788735,248.3658409785933,0.5493412415703108,,0.0,0.0,0.0,,,,0.2842732066223326,
11110,11110540,142.67764525993886,85.01571428571428,0.5958586864173954,,0.0,0.0,0.0,,,,0.30834506252879595,
11110,11110550,188.8677264957265,236.35669950738918,1.2514403804862724,,0.0,0.0,0.0,,,,0.6475955980304304,
11110,11110560,281.7569426751592,368.3027188940092,1.3071646625532476,,0.0,0.0,0.0,,,,0.6764318097530831,
11110,11110570,131.15303896103896,219.43448979591838,1.6731178441172438,,0.0,0.0,0.0,,,,0.8658053293881038,
11110,11110580,172.30542757417103,210.3950226244344,1.2210585910526075,,0.0,0.0,0.0,,,,0.6318736240520267,
11110,11110600,164.53867669172934,118.40459574468086,0.7196155829459917,,0.0,0.0,0.0,,,,0.37238680408318364,
11110,11110615,788.8003305785124,545.1457464788732,0.691107401132881,,0.0,0.0,0.0,,,,0.35763438492051614,
11110,11110630,207.01635714285715,146.12537216828477,0.7058638949358338,,0.0,0.0,0.0,,,,0.3652705780449878,
11110,11110640,471.44356545961,385.4549019607843,0.817605605848082,,0.0,0.0,0.0,,,,0.4230946991389888,
11110,11110650,373.8812518195051,351.1190419161677,0.9391191460054111,,0.0,0.0,0.0,,,,0.48597554822618466,
11110,11110670,165.10198863636364,127.04159090909093,0.7694734143323945,,0.0,0.0,0.0,,,,0.3981872438297674,
11110,11110680,194.4033108108108,279.2291818181818,1.436339641817735,,0.0,0.0,0.0,,,,0.7432773017571441,
11110,11110690,168.5468292682927,245.41356435643564,1.4560556577767865,,0.0,0.0,0.0,,,,0.7534799493182035,
11110,11110700,150.61623582766438,233.28643939393942,1.5488797612819547,,0.0,0.0,0.0,,,,0.8015145834553168,
11110,11110710,226.05102710413692,214.3251082251082,0.9481271152392207,,0.0,0.0,0.0,,,,0.4906369938003972,
11140,11140520,296.5103566333809,158.18072727272727,0.5334745439205998,,0.0,0.0,0.0,,,,0.27606250500725443,
11140,11140540,337.0982748948107,199.82354545454547,0.592775342789574,,0.0,0.0,0.0,,,,0.30674949330174545,
11140,11140550,616.0470741758242,326.5974857142857,0.5301502099514436,,0.0,0.0,0.0,,,,0.27434222805409103,
11140,11140570,218.833,131.20822981366462,0.5995815522049445,,0.0,0.0,0.0,,,,0.3102715718005665,
11140,11140580,218.6197485207101,132.23018382352942,0.6048409840294144,,0.0,0.0,0.0,,,,0.3129932235474476,
11140,11140590,272.83601683029457,218.75408163265305,0.8017786074362727,,0.0,0.0,0.0,,,,0.41490454109283426,
11140,11140605,158.01419161676645,139.08546583850932,0.8802086978100981,,0.0,0.0,0.0,,,,0.45549055867002186,
11140,11140615,212.84803981623276,230.75253048780488,1.0841186542616525,,0.0,0.0,0.0,,,,0.5610099204004563,
11140,11140625,249.0676447876448,315.6950505050505,1.2675072700599561,,0.0,0.0,0.0,,,,0.6559098949991087,
11140,11140635,281.385126984127,369.35380165289257,1.312627307674751,,0.0,0.0,0.0,,,,0.6792586203542509,
11140,11140645,161.34596730245232,296.4787628865979,1.837534385540801,,0.0,0.0,0.0,,,,0.950887631453433,
11140,11140650,256.1230919220056,299.8804069767442,1.1708448649685346,,0.0,0.0,0.0,,,,0.6058890158519015,
11140,11140665,265.208877755511,394.437294117647,1.4872703261512543,,0.0,0.0,0.0,,,,0.7696329216439249,
11140,11140670,237.94538053097347,291.64812765957447,1.2256935898850556,,0.0,0.0,0.0,,,,0.6342721440994646,
11140,11140680,210.44269927536232,280.05912195121954,1.3308093980716564,,0.0,0.0,0.0,,,,0.6886674918335715,
11170,11170510,228.91370175438595,302.0169607843137,1.3193485513084937,,0.0,0.0,0.0,,,,0.6827367307447839,
11170,11170520,195.3741352201258,214.54310714285714,1.0981141741261395,,0.0,0.0,0.0,,,,0.5682523245914313,
11170,11170530,312.9626591230552,293.4466961651917,0.9376412412504781,,0.0,0.0,0.0,,,,0.4852107618020555,
11170,11170555,348.6924425287356,335.39142424242425,0.9618545839713311,,0.0,0.0,0.0,,,,0.497740686842139,
11170,11170560,275.6115384615385,341.44041666666664,1.2388465975429928,,0.0,0.0,0.0,,,,0.6410785649189933,
11170,11170570,222.9038403041825,326.1534020618557,1.4632022562589104,,0.0,0.0,0.0,,,,0.7571781724138303,
11170,11170580,156.65493601462524,253.62436363636363,1.6190001418958504,,0.0,0.0,0.0,,,,0.8378004908991316,
11170,11170590,218.53117516629712,316.84156626506024,1.4498689535895792,,0.0,0.0,0.0,,,,0.7502784524986786,
11170,11170625,866.9243621399177,678.143608815427,0.782240802578781,,0.0,0.0,0.0,,,,0.4047941142453541,
11170,11170630,362.7198771121352,417.91494736842105,1.1521699629359499,,0.0,0.0,0.0,,,,0.5962251241168017,
11170,11170640,124.53126373626372,214.0304672897196,1.7186886318202002,,0.0,0.0,0.0,,,,0.8893873089816874,
11170,11170650,180.1827856025039,180.5488821752266,1.0020318065984968,,0.0,0.0,0.0,,,,0.5185316033893029,
11170,11170660,237.4007076923077,242.58953900709218,1.0218568485545951,,0.0,0.0,0.0,,,,0.5287906697433462,
11170,11170685,386.54409604519776,337.50742603550293,0.8731408123642352,,0.0,0.0,0.0,,,,0.45183306801086187,
11170,11170690,303.36283861671467,244.70728624535315,0.8066488544252113,,0.0,0.0,0.0,,,,0.4174247973995167,
11170,11170700,169.84384210526315,262.25162790697675,1.5440749847406452,,0.0,0.0,0.0,,,,0.7990282068079029,
11200,11200520,265.86335135135135,319.16403614457835,1.2004815049622524,,0.0,0.0,0.0,,,,0.6212253897612096,
11200,11200535,422.8269208211144,453.1825324675325,1.0717920504859733,,0.0,0.0,0.0,,,,0.5546311472137597,
11200,11200540,345.58528593508504,400.7548042704626,1.159640819736002,,0.0,0.0,0.0,,,,0.6000911444663685,
11200,11200550,278.7862358642972,287.16261904761905,1.030045899351355,,0.0,0.0,0.0,,,,0.5330283412542884,
